"ft_dem","ft_rep","race","income","sex","white","black","hispanic","other","vote_obama"
60,30,1,8,1,1,0,0,0,1
30,50,1,20,1,1,0,0,0,0
85,30,3,1,0,0,0,1,0,1
0,90,1,11,1,1,0,0,0,0
60,0,3,19,1,0,0,1,0,1
0,50,1,24,0,1,0,0,0,0
100,15,4,25,1,0,0,0,1,1
50,70,1,12,0,1,0,0,0,0
50,60,1,14,0,1,0,0,0,1
50,70,1,14,1,1,0,0,0,0
50,60,1,16,1,1,0,0,0,0
15,60,1,23,0,1,0,0,0,0
60,70,1,21,1,1,0,0,0,0
15,100,1,1,1,1,0,0,0,0
85,50,2,13,0,0,1,0,0,1
60,40,2,8,1,0,1,0,0,1
60,30,2,11,1,0,1,0,0,1
100,0,2,5,1,0,1,0,0,1
-2,-2,2,2,1,0,1,0,0,1
50,60,3,4,0,0,0,1,0,1
70,30,1,3,1,1,0,0,0,1
90,40,3,13,1,0,0,1,0,1
60,30,1,9,1,1,0,0,0,1
60,0,1,11,1,1,0,0,0,1
100,0,4,5,0,0,0,0,1,1
0,70,1,9,1,1,0,0,0,0
60,60,1,11,0,1,0,0,0,1
50,60,1,22,0,1,0,0,0,0
85,70,3,6,0,0,0,1,0,1
100,0,3,1,1,0,0,1,0,1
70,15,3,3,1,0,0,1,0,1
85,30,3,11,0,0,0,1,0,1
85,30,1,14,0,1,0,0,0,1
40,70,1,19,0,1,0,0,0,0
1,85,1,7,0,1,0,0,0,0
70,30,1,13,0,1,0,0,0,1
10,60,1,18,0,1,0,0,0,0
40,60,1,12,1,1,0,0,0,0
50,30,1,25,0,1,0,0,0,1
50,60,1,24,0,1,0,0,0,0
60,70,1,11,1,1,0,0,0,0
0,60,1,18,1,1,0,0,0,0
0,100,1,17,1,1,0,0,0,0
60,40,1,11,1,1,0,0,0,1
85,30,1,20,0,1,0,0,0,1
30,85,1,17,1,1,0,0,0,0
70,50,1,12,0,1,0,0,0,1
85,30,1,11,1,1,0,0,0,0
15,50,1,17,0,1,0,0,0,0
100,0,1,22,1,1,0,0,0,1
100,30,3,14,1,0,0,1,0,1
40,60,4,2,0,0,0,0,1,1
70,15,1,12,0,1,0,0,0,1
15,35,1,28,1,1,0,0,0,0
85,0,2,2,0,0,1,0,0,1
0,100,1,5,0,1,0,0,0,0
60,50,1,4,1,1,0,0,0,0
100,50,2,11,1,0,1,0,0,1
85,15,2,15,0,0,1,0,0,1
60,0,2,1,1,0,1,0,0,1
50,50,4,15,0,0,0,0,1,1
85,0,2,23,1,0,1,0,0,1
50,60,1,9,1,1,0,0,0,0
100,0,2,12,1,0,1,0,0,1
100,0,2,11,1,0,1,0,0,1
100,0,2,5,1,0,1,0,0,1
100,0,2,13,0,0,1,0,0,1
100,0,2,17,1,0,1,0,0,1
90,15,2,17,1,0,1,0,0,1
60,50,2,13,0,0,1,0,0,1
100,15,2,19,0,0,1,0,0,1
50,0,2,18,0,0,1,0,0,1
100,40,2,4,1,0,1,0,0,1
40,50,2,3,1,0,1,0,0,1
99,99,2,9,0,0,1,0,0,1
85,0,2,5,1,0,1,0,0,1
100,0,2,1,0,0,1,0,0,1
100,0,2,12,1,0,1,0,0,1
85,15,2,3,1,0,1,0,0,1
100,0,2,1,0,0,1,0,0,1
60,0,2,21,0,0,1,0,0,1
100,15,2,22,1,0,1,0,0,1
100,0,2,7,1,0,1,0,0,1
85,40,2,14,1,0,1,0,0,1
